,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
0,0.25,0.5,0.75,0.0,0.2,-0.03933058235441122,0.0,-0.11752823139217836,0.0,-0.14344523059813982,0.0,,,,
1,0.25,0.5,0.75,0.0,1.19,0.7584552646543234,0.0,0.2748094077332493,0.0,0.1161543943132837,-0.0,17.844369408232655,,62.341574414072866,
2,0.25,0.5,0.75,0.0,2.18,1.5775417504936822,0.0,0.6765496847238899,0.0,0.38096448604472305,-0.0,22.58944018728068,,19.80396239605561,
3,0.25,0.5,0.75,0.0,3.17,2.4052985771317106,0.0,1.0837322459381336,0.0,0.6492948256940386,-0.0,24.295229715681195,,12.649996889815927,
4,0.25,0.5,0.75,0.0,4.16,3.2373557649730174,0.0,1.4943003602482472,0.0,0.920090509369492,-0.0,25.19278579802534,-81.24489397109468,9.427672361030124,106.43767976912002
5,0.25,0.5,0.75,0.0,5.15,4.071841672904658,0.0,1.907101575296695,-0.0,1.192668901752282,0.0,25.751003458372864,-61.46011856716334,7.55764374304441,87.21112202553621
6,0.25,0.5,0.75,0.0,6.14,4.907828718883573,0.0,2.321446837835176,0.0,1.4665728172628578,0.0,26.1331250990271,-53.28044671510052,6.324908618161773,79.41357181412762
7,0.25,0.5,0.75,0.0,7.13,5.744806804930475,0.0,2.7369013595537237,-0.0,1.7414863819190682,-0.0,26.41165178101924,-48.54839380149908,5.446644290743321,74.96004558251832
8,0.25,0.5,0.75,0.0,8.12,6.582472827888544,0.0,3.1531782603144944,0.0,2.0171852347694164,-0.0,26.62390980542167,-45.40369050388711,4.787155716903465,72.02760030930878
9,0.25,0.5,0.75,0.0,9.11,7.420635584962411,-0.0,3.570081056302688,0.0,2.293506075012334,0.0,26.791144273321276,-43.14142653785379,4.272743204514268,69.93257081117507
10,0.25,0.5,0.75,0.0,10.1,8.259168592868303,0.0,3.9874708721733256,0.0,2.570327453967907,0.0,26.92636352201568,-41.42682590700259,3.8597381775586967,68.35318942901827
11,0.25,0.5,0.75,0.0,11.09,9.097984883931899,0.0,4.405246880263446,0.0,2.8475573092372133,-0.0,27.037989215772956,-40.07802102251268,3.520536993646204,67.11601023828564
12,0.25,0.5,0.75,0.0,12.079999999999998,9.937022713213075,0.0,4.8233341652740895,0.0,3.1251246618023987,-0.0,27.13171919424878,-38.986815700049014,3.2367951208654913,66.1185348942978
13,0.25,0.5,0.75,0.0,13.069999999999999,10.776237043446919,0.0,5.241675935869128,-0.0,3.4029739543756166,0.0,27.211548790374078,-38.08444343327718,2.995824468699313,65.29599222365125
14,0.25,0.5,0.75,0.0,14.059999999999999,11.615594257764652,0.0,5.66022837585566,0.0,3.681061107845362,0.0,27.28036381034933,-37.32493374670193,2.7885580058242163,64.60529755705126
15,0.25,0.5,0.75,0.0,15.049999999999999,12.455068758885227,0.0,6.078957150571836,0.0,3.959350721064434,0.0,27.34030139072067,-36.6763018541676,2.608337662089973,64.01660324488827
16,0.25,0.5,0.75,0.0,16.04,13.294640714244018,-0.0,6.497834981120982,0.0,4.237814047468962,0.0,27.3929784010383,-36.11555875369432,2.4501604006047013,63.50853715473262
17,0.25,0.5,0.75,0.0,17.029999999999998,14.1342945208576,-0.0,6.916839925139343,0.0,4.516427509612208,0.0,27.439640918736806,-35.6257294477598,2.3101917918427475,63.06537036649661
18,0.25,0.5,0.75,0.0,18.02,14.97401773562018,0.0,7.335954135710358,0.0,4.795171592691307,0.0,27.481264902981568,-35.193991015303084,2.1854422220966594,62.67525591828465
19,0.25,0.5,0.75,0.0,19.009999999999998,15.813800314419543,0.0,7.755162950495998,0.0,5.074030009373391,-0.0,27.518625717615873,-34.8104663681157,2.0735454678438803,62.329092085731574
20,0.25,0.5,0.75,0.0,20.0,16.6536340608909,-0.0,8.174454213138944,-0.0,5.352989061684101,0.0,27.552347208928722,-34.46741795261125,1.972603666537126,62.01976516153997
21,0.25,0.5,0.75,0.1,0.2,5.0,6.0,5.0,5.0,5.0,5.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
22,0.25,0.5,0.75,0.1,1.19,0.6957274204906317,0.0,0.35672945317716387,0.0,5.0,4.0,17.077361128417685,-34.90803625774402,40.51030726742937,51.98539738616171
23,0.25,0.5,0.75,0.1,2.18,1.427995116482043,-0.0,0.7417210148451147,-0.0,5.0,4.0,22.095594352302218,-34.90803625774402,18.097671082774585,57.003630610046244
24,0.25,0.5,0.75,0.1,3.17,2.1689202752985937,-0.0,1.1464923356796266,-0.0,0.953599980647413,-0.0,23.928607445969273,-77.21673984404237,12.009825414367102,101.14534729001164
25,0.25,0.5,0.75,0.1,4.16,2.91390471449571,0.0,1.5566378335317916,0.0,1.223070829067293,0.0,24.899203105040204,-60.25330775315529,9.084218042531697,85.1525108581955
26,0.25,0.5,0.75,0.1,5.15,3.661175278048884,0.0,1.9695173765784384,-0.0,1.5145300581924148,-0.0,25.505335277384287,-52.28484446146468,7.340495078426341,77.79017973884896
27,0.25,0.5,0.75,0.1,6.14,4.409866261746395,0.0,2.384084178670388,0.0,1.8139892821466879,0.0,25.92154103742976,-47.6058441117056,6.1740349015525515,73.52738514913536
28,0.25,0.5,0.75,0.1,7.13,5.159500946414871,0.0,2.7997928311405462,0.0,2.117369826206703,0.0,26.22565665249063,-44.503258978496326,5.335193420204125,70.72891563098696
29,0.25,0.5,0.75,0.1,8.12,5.909794600128362,-0.0,3.2163186778598853,0.0,2.4230287249181566,-0.0,26.45788054798524,-42.28405550776027,4.701202648382975,68.74193605574551
30,0.25,0.5,0.75,0.1,9.11,6.6605665658753805,-0.0,3.6334525804852933,0.0,2.7301593324255853,-0.0,26.641152019627153,-40.61243041785741,4.204299405646262,67.25358243748457
31,0.25,0.5,0.75,0.1,10.1,7.411696674152963,0.0,4.051052416926829,0.0,3.038310625837369,0.0,26.789548205108442,-39.30501886770416,3.8038715003861103,66.09456707281261
32,0.25,0.5,0.75,0.1,11.09,8.16310188273347,-0.0,4.469017718797298,0.0,3.3472064638668884,-0.0,26.912200603429028,-38.252805095535244,3.4740273204719307,65.16500569896428
33,0.25,0.5,0.75,0.1,12.079999999999998,8.914722968866547,0.0,4.88727523724004,-0.0,3.656666184841938,0.0,27.015298044883224,-37.38671169611551,3.19744559855208,64.40200974099874
34,0.25,0.5,0.75,0.1,13.069999999999999,9.66651656268658,-0.0,5.305770211053173,0.0,3.9665655043448655,0.0,27.10318687279957,-36.660743947662795,2.9620821539631472,63.76393082046236
35,0.25,0.5,0.75,0.1,14.059999999999999,10.418450177171268,-0.0,5.724460832275794,0.0,4.276815504692008,-0.0,27.179010791268524,-36.04303694866088,2.7592924794955307,63.2220477399294
36,0.25,0.5,0.75,0.1,15.049999999999999,11.170498997223909,-0.0,6.143314605543555,0.0,4.587350544932412,0.0,27.245100845879623,-35.51078562242086,2.582705563923341,62.75588646830049
37,0.25,0.5,0.75,0.1,16.04,11.922643741991276,-0.0,6.562305878770063,-0.0,4.898120910066053,-0.0,27.303222611278887,-35.04722019787253,2.4275191972874044,62.35044280915142
38,0.25,0.5,0.75,0.1,17.029999999999998,12.674869204043596,-0.0,6.9814141244788095,0.0,5.209088135606973,-0.0,27.354738171926037,-34.63972236904326,2.2900430159787097,61.9944605409693
39,0.25,0.5,0.75,0.1,18.02,13.427163227954102,-0.0,7.40062271673596,-0.0,5.520221920175629,-0.0,27.40071535131863,-34.27860846705576,2.1673930206366827,61.67932381837439
40,0.25,0.5,0.75,0.1,19.009999999999998,14.179515981472395,0.0,7.819918043743688,0.0,5.831498021279611,-0.0,27.442003227964694,-33.95631865238976,2.0572818958084103,61.39832188035446
41,0.25,0.5,0.75,0.1,20.0,14.931919425981116,0.0,8.239288852867295,0.0,6.142896781993868,0.0,27.479285499474067,-33.666861923832286,1.9578717282567035,61.14614742330635
42,0.25,0.5,0.75,0.2,0.2,5.0,6.0,5.0,5.0,5.0,4.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
43,0.25,0.5,0.75,0.2,1.19,0.6422073477209609,0.0,0.4167933895368411,0.0,5.0,4.0,16.316319213765325,-34.90803625774402,33.26260026632378,51.22435547150935
44,0.25,0.5,0.75,0.2,2.18,1.2971698891765169,0.0,0.8013996804626298,0.0,0.9131855118809202,-0.0,21.58044377912536,-82.19094385114163,16.796398492987528,103.77138763026699
45,0.25,0.5,0.75,0.2,3.17,1.9605862297507954,-0.0,1.2062014659113838,-0.0,1.1862694257398543,-0.0,23.540119220123692,-61.72791843420901,11.462403891317004,85.2680376543327
