Voltage (V)	Current (pA)
0.800	39.368
0.799	28.381
0.798	28.381
0.797	23.499
0.796	23.499
0.795	21.667
0.794	20.447
0.793	20.447
0.792	19.531
0.791	19.531
0.790	18.921
0.789	18.921
0.788	18.616
0.787	18.005
0.786	18.005
0.785	17.395
0.784	17.395
0.783	17.700
0.782	17.090
0.781	17.090
0.780	16.785
0.779	16.785
0.778	16.785
0.777	16.785
0.776	16.479
0.775	16.174
0.774	16.174
0.773	16.174
0.772	16.174
0.771	16.174
0.770	15.564
0.769	15.564
0.768	15.564
0.767	15.564
0.766	15.564
0.765	15.564
0.764	15.564
0.763	15.259
0.762	15.259
0.761	15.564
0.760	15.259
0.759	15.259
0.758	14.954
0.757	14.954
0.756	14.954
0.755	14.954
0.754	15.259
0.753	14.648
0.752	14.648
0.751	14.954
0.750	14.954
0.749	14.954
0.748	14.648
0.747	14.648
0.746	14.648
0.745	14.648
0.744	14.648
0.743	14.648
0.742	14.648
0.741	14.343
0.740	14.343
0.739	14.343
0.738	14.343
0.737	14.343
0.736	14.343
0.735	14.343
0.734	14.343
0.733	14.343
0.732	14.038
0.731	14.038
0.730	14.038
0.729	14.038
0.728	14.038
0.727	14.038
0.726	14.038
0.725	14.038
0.724	13.733
0.723	13.733
0.722	14.038
0.721	14.038
0.720	14.038
0.719	13.733
0.718	13.733
0.717	13.733
0.716	13.733
0.715	14.038
0.714	13.733
0.713	13.733
0.712	13.733
0.711	13.733
0.710	13.733
0.709	13.733
0.708	13.733
0.707	13.428
0.706	13.428
0.705	13.733
0.704	13.733
0.703	13.733
0.702	13.428
0.701	13.428
0.700	13.428
0.699	13.428
0.698	13.428
0.697	13.428
0.696	13.428
0.695	13.428
0.694	13.428
0.693	13.733
0.692	13.428
0.691	13.428
0.690	13.123
0.689	13.123
0.688	13.428
0.687	13.428
0.686	13.123
0.685	13.123
0.684	13.123
0.683	13.123
0.682	13.123
0.681	13.428
0.680	13.123
0.679	13.123
0.678	13.123
0.677	13.123
0.676	13.428
0.675	13.428
0.674	13.123
0.673	13.123
0.672	13.123
0.671	13.123
0.670	13.123
0.669	13.123
0.668	12.817
0.667	12.817
0.666	13.123
0.665	13.123
0.664	13.123
0.663	13.123
0.662	13.123
0.661	12.817
0.660	12.817
0.659	13.123
0.658	12.817
0.657	12.817
0.656	12.817
0.655	12.817
0.654	12.817
0.653	12.817
0.652	12.817
0.651	12.817
0.650	12.817
0.649	12.817
0.648	12.817
0.647	13.123
0.646	12.512
0.645	12.512
0.644	12.817
0.643	12.817
0.642	12.817
0.641	12.817
0.640	12.817
0.639	12.512
0.638	12.512
0.637	12.817
0.636	12.817
0.635	12.817
0.634	12.512
0.633	12.512
0.632	12.512
0.631	12.512
0.630	12.817
0.629	12.512
0.628	12.512
0.627	12.512
0.626	12.512
0.625	12.817
0.624	12.817
0.623	12.512
0.622	12.207
0.621	12.207
0.620	12.817
0.619	12.817
0.618	12.512
0.617	12.512
0.616	12.512
0.615	12.512
0.614	12.512
0.613	12.512
0.612	12.207
0.611	12.207
0.610	12.512
0.609	12.512
0.608	12.512
0.607	12.512
0.606	12.512
0.605	12.207
0.604	12.207
0.603	12.207
0.602	12.207
0.601	12.512
0.600	12.207
0.599	12.207
0.598	12.207
0.597	12.207
0.596	12.512
0.595	12.207
0.594	12.207
0.593	12.207
0.592	12.207
0.591	12.207
0.590	12.207
0.589	12.512
0.588	12.207
0.587	12.207
0.586	12.207
0.585	12.207
0.584	12.207
0.583	12.207
0.582	12.207
0.581	12.207
0.580	12.207
0.579	12.207
0.578	12.207
0.577	12.207
0.576	12.207
0.575	12.207
0.574	12.207
0.573	12.207
0.572	12.207
0.571	11.902
0.570	11.902
0.569	12.207
0.568	12.207
0.567	12.207
0.566	12.207
0.565	12.207
0.564	12.207
0.563	12.207
0.562	12.207
0.561	11.902
0.560	11.902
0.559	12.207
0.558	12.207
0.557	12.207
0.556	12.207
0.555	12.207
0.554	11.902
0.553	11.902
0.552	12.207
0.551	12.207
0.550	12.207
0.549	11.902
0.548	11.902
0.547	11.902
0.546	11.902
0.545	12.207
0.544	12.207
0.543	12.207
0.542	11.902
0.541	11.902
0.540	12.207
0.539	11.902
0.538	11.902
0.537	11.902
0.536	11.902
0.535	11.902
0.534	11.902
0.533	11.902
0.532	11.902
0.531	11.902
0.530	11.902
0.529	11.902
0.528	12.207
0.527	11.902
0.526	11.902
0.525	11.902
0.524	11.902
0.523	11.902
0.522	11.902
0.521	11.902
0.520	11.597
0.519	11.597
0.518	11.902
0.517	11.902
0.516	11.902
0.515	11.902
0.514	11.902
0.513	11.902
0.512	11.902
0.511	11.902
0.510	11.902
0.509	11.902
0.508	11.902
0.507	11.902
0.506	11.902
0.505	11.902
0.504	11.902
0.503	11.902
0.502	11.902
0.501	11.902
0.500	11.902
0.499	12.207
0.498	11.597
0.497	11.597
0.496	11.902
0.495	11.902
0.494	11.902
0.493	11.902
0.492	11.902
0.491	11.597
0.490	11.597
0.489	11.902
0.488	11.902
0.487	11.597
0.486	11.597
0.485	11.597
0.484	11.902
0.483	11.902
0.482	11.902
0.481	11.597
0.480	11.597
0.479	11.597
0.478	11.597
0.477	11.902
0.476	11.597
0.475	11.597
0.474	11.597
0.473	11.597
0.472	11.597
0.471	11.597
0.470	11.597
0.469	11.292
0.468	11.292
0.467	11.597
0.466	11.597
0.465	11.597
0.464	11.292
0.463	11.292
0.462	11.292
0.461	11.292
0.460	11.597
0.459	11.292
0.458	11.292
0.457	11.292
0.456	11.292
0.455	11.292
0.454	11.292
0.453	11.292
0.452	10.986
0.451	10.986
0.450	10.986
0.449	10.986
0.448	10.986
0.447	10.681
0.446	10.681
0.445	10.681
